team_name,tournament_id,tournament_name,goals_scored
Algeria,WC-1982,1982 FIFA World Cup,5
Algeria,WC-1986,1986 FIFA World Cup,1
Algeria,WC-2014,2014 FIFA World Cup,7
Angola,WC-2006,2006 FIFA World Cup,1
Argentina,WC-1930,1930 FIFA World Cup,18
Argentina,WC-1934,1934 FIFA World Cup,2
Argentina,WC-1958,1958 FIFA World Cup,5
Argentina,WC-1962,1962 FIFA World Cup,2
Argentina,WC-1966,1966 FIFA World Cup,4
Argentina,WC-1974,1974 FIFA World Cup,9
Argentina,WC-1978,1978 FIFA World Cup,15
Argentina,WC-1982,1982 FIFA World Cup,8
Argentina,WC-1986,1986 FIFA World Cup,14
Argentina,WC-1990,1990 FIFA World Cup,5
Argentina,WC-1994,1994 FIFA World Cup,8
Argentina,WC-1998,1998 FIFA World Cup,10
Argentina,WC-2002,2002 FIFA World Cup,2
Argentina,WC-2006,2006 FIFA World Cup,11
Argentina,WC-2010,2010 FIFA World Cup,10
Argentina,WC-2014,2014 FIFA World Cup,8
Argentina,WC-2018,2018 FIFA World Cup,6
Argentina,WC-2022,2022 FIFA World Cup,15
Australia,WC-2006,2006 FIFA World Cup,5
Australia,WC-2010,2010 FIFA World Cup,3
Australia,WC-2014,2014 FIFA World Cup,3
Australia,WC-2018,2018 FIFA World Cup,2
Australia,WC-2022,2022 FIFA World Cup,4
Austria,WC-1934,1934 FIFA World Cup,7
Austria,WC-1954,1954 FIFA World Cup,17
Austria,WC-1958,1958 FIFA World Cup,2
Austria,WC-1978,1978 FIFA World Cup,7
Austria,WC-1982,1982 FIFA World Cup,5
Austria,WC-1990,1990 FIFA World Cup,2
Austria,WC-1998,1998 FIFA World Cup,3
Belgium,WC-1934,1934 FIFA World Cup,2
Belgium,WC-1938,1938 FIFA World Cup,1
Belgium,WC-1954,1954 FIFA World Cup,5
Belgium,WC-1970,1970 FIFA World Cup,4
Belgium,WC-1982,1982 FIFA World Cup,3
Belgium,WC-1986,1986 FIFA World Cup,12
Belgium,WC-1990,1990 FIFA World Cup,6
Belgium,WC-1994,1994 FIFA World Cup,4
Belgium,WC-1998,1998 FIFA World Cup,3
Belgium,WC-2002,2002 FIFA World Cup,6
Belgium,WC-2014,2014 FIFA World Cup,6
Belgium,WC-2018,2018 FIFA World Cup,16
Belgium,WC-2022,2022 FIFA World Cup,1
Bolivia,WC-1994,1994 FIFA World Cup,1
Bosnia and Herzegovina,WC-2014,2014 FIFA World Cup,4
Brazil,WC-1930,1930 FIFA World Cup,5
Brazil,WC-1934,1934 FIFA World Cup,1
Brazil,WC-1938,1938 FIFA World Cup,14
Brazil,WC-1950,1950 FIFA World Cup,22
Brazil,WC-1954,1954 FIFA World Cup,8
Brazil,WC-1958,1958 FIFA World Cup,16
Brazil,WC-1962,1962 FIFA World Cup,14
Brazil,WC-1966,1966 FIFA World Cup,4
Brazil,WC-1970,1970 FIFA World Cup,19
Brazil,WC-1974,1974 FIFA World Cup,6
Brazil,WC-1978,1978 FIFA World Cup,10
Brazil,WC-1982,1982 FIFA World Cup,15
Brazil,WC-1986,1986 FIFA World Cup,10
Brazil,WC-1990,1990 FIFA World Cup,4
