,team_name,minute_regulation,yellow_card,second_yellow_card,red_card
1926,Algeria,12,1,0,0
376,Algeria,33,1,0,0
2093,Algeria,34,1,0,0
308,Algeria,36,1,0,0
2177,Algeria,39,1,0,0
2204,Algeria,42,1,0,0
1801,Algeria,59,1,0,0
222,Algeria,67,1,0,0
2135,Algeria,67,1,0,0
1802,Algeria,73,1,1,0
1928,Algeria,76,1,0,0
202,Algeria,83,1,0,0
1929,Algeria,83,1,0,0
1872,Algeria,85,1,0,0
2180,Algeria,87,1,0,0
1804,Algeria,90,1,0,0
1931,Algeria,90,1,1,0
1538,Angola,13,1,0,0
1616,Angola,22,1,0,0
1453,Angola,28,1,0,0
1539,Angola,44,1,0,0
1454,Angola,45,1,0,0
1618,Angola,45,1,0,0
1540,Angola,50,1,0,0
1455,Angola,52,1,0,0
1620,Angola,67,1,0,0
1542,Angola,79,1,1,0
1543,Angola,86,1,0,0
620,Argentina,5,1,0,0
2018,Argentina,11,1,0,0
2404,Argentina,11,1,0,0
1231,Argentina,13,1,0,0
436,Argentina,17,1,0,0
2405,Argentina,19,1,0,0
68,Argentina,21,1,0,0
592,Argentina,21,1,0,0
1114,Argentina,22,1,0,0
1047,Argentina,23,1,0,0
363,Argentina,25,1,0,0
2085,Argentina,25,1,0,0
106,Argentina,26,1,0,0
444,Argentina,27,1,0,0
564,Argentina,27,1,0,0
565,Argentina,28,1,0,0
396,Argentina,30,1,0,0
611,Argentina,30,1,0,0
234,Argentina,31,1,0,0
255,Argentina,32,1,0,0
263,Argentina,33,1,0,0
434,Argentina,33,1,0,0
799,Argentina,33,1,0,0
773,Argentina,34,1,0,0
122,Argentina,35,1,0,0
256,Argentina,35,1,0,0
1048,Argentina,35,1,0,0
1528,Argentina,36,1,0,0
257,Argentina,39,1,0,0
189,Argentina,40,1,0,0
667,Argentina,40,1,0,0
595,Argentina,41,1,0,0
1438,Argentina,41,1,0,0
1792,Argentina,41,1,0,0
2406,Argentina,43,1,0,0
2543,Argentina,43,1,0,0
2653,Argentina,43,1,0,0
235,Argentina,44,1,0,0
774,Argentina,44,1,0,0
1096,Argentina,44,1,0,0
1695,Argentina,45,1,0,0
2654,Argentina,45,1,0,0
2683,Argentina,45,1,0,0
1744,Argentina,46,1,0,0
69,Argentina,47,1,0,0
1097,Argentina,47,1,0,0
1439,Argentina,48,1,0,0
398,Argentina,49,1,0,0
2230,Argentina,49,1,0,0
2371,Argentina,49,1,0,0
2588,Argentina,49,1,0,0
2407,Argentina,50,1,0,0
1157,Argentina,51,1,0,0
2305,Argentina,51,1,0,0
86,Argentina,54,1,0,0
720,Argentina,54,1,0,0
1843,Argentina,54,1,0,0
194,Argentina,55,1,0,0
474,Argentina,55,1,0,0
801,Argentina,55,1,0,0
1307,Argentina,55,1,0,0
1844,Argentina,55,1,0,0
802,Argentina,56,1,0,0
475,Argentina,57,1,0,0
1643,Argentina,57,1,0,0
321,Argentina,58,1,0,0
1308,Argentina,58,1,0,0
107,Argentina,60,1,0,0
426,Argentina,60,1,0,0
1115,Argentina,60,1,0,0
1745,Argentina,60,1,0,0
596,Argentina,61,1,0,0
2239,Argentina,64,1,0,0
2372,Argentina,64,1,0,0
322,Argentina,65,1,0,0
622,Argentina,65,0,0,1
986,Argentina,65,1,0,0
2240,Argentina,65,1,0,0
129,Argentina,68,1,0,0
1052,Argentina,68,1,0,0
2678,Argentina,68,1,0,0
476,Argentina,70,1,0,0
612,Argentina,71,1,0,0
2679,Argentina,71,1,0,0
126,Argentina,72,1,0,0
509,Argentina,72,1,0,0
1099,Argentina,73,1,0,0
1845,Argentina,74,1,0,0
1310,Argentina,75,1,0,0
2221,Argentina,75,1,0,0
613,Argentina,76,1,0,0
1917,Argentina,76,1,0,0
2657,Argentina,76,1,0,0
149,Argentina,77,1,0,0
439,Argentina,77,1,0,0
477,Argentina,77,1,0,0
168,Argentina,80,1,0,0
2020,Argentina,80,1,0,0
440,Argentina,81,1,0,0
779,Argentina,81,1,0,0
1441,Argentina,81,1,0,0
614,Argentina,82,1,0,0
401,Argentina,83,1,0,0
804,Argentina,83,1,0,0
259,Argentina,84,0,0,1
623,Argentina,84,1,0,0
265,Argentina,85,0,0,1
441,Argentina,85,1,0,0
2308,Argentina,85,1,0,0
510,Argentina,86,1,0,0
1117,Argentina,86,1,0,0
569,Argentina,87,1,0,0
624,Argentina,87,1,0,0
625,Argentina,87,0,0,1
1118,Argentina,87,0,0,1
2309,Argentina,87,1,0,0
1746,Argentina,88,1,0,0
2659,Argentina,89,1,0,0
1159,Argentina,90,1,0,0
1644,Argentina,90,1,0,0
2208,Argentina,90,1,0,0
2374,Argentina,90,1,0,0
2411,Argentina,90,1,0,0
2660,Argentina,90,1,0,0
2661,Argentina,90,1,0,0
2687,Argentina,90,1,0,0
190,Argentina,93,1,0,0
1748,Argentina,95,1,0,0
615,Argentina,103,1,1,0
2663,Argentina,109,1,0,0
597,Argentina,111,1,0,0
1698,Argentina,112,1,0,0
2664,Argentina,112,1,0,0
2688,Argentina,114,1,0,0
2689,Argentina,116,1,0,0
616,Argentina,118,1,0,0
1100,Argentina,120,1,0,0
2209,Argentina,120,1,0,0
2210,Argentina,120,1,0,0
2690,Argentina,120,1,0,0
2584,Australia,4,1,0,0
2358,Australia,10,1,0,0
1570,Australia,13,1,0,0
2251,Australia,13,1,0,0
2634,Australia,15,1,0,0
1723,Australia,23,1,0,0
1812,Australia,24,1,0,0
1874,Australia,24,0,0,1
1458,Australia,33,1,0,0
88,Australia,37,1,0,0
2635,Australia,38,1,0,0
1573,Australia,39,1,0,0
2102,Australia,43,1,0,0
2060,Australia,44,1,0,0
1813,Australia,46,1,0,0
1725,Australia,49,1,0,0
1933,Australia,49,1,0,0
1934,Australia,50,1,0,0
2495,Australia,55,1,0,0
1814,Australia,56,0,0,1
2252,Australia,57,1,0,0
2585,Australia,57,1,0,0
1460,Australia,58,1,0,0
1815,Australia,58,1,0,0
2061,Australia,58,1,0,0
2360,Australia,60,1,0,0
1727,Australia,61,1,0,0
2361,Australia,66,1,0,0
1936,Australia,67,1,0,0
2062,Australia,67,1,0,0
1462,Australia,69,1,0,0
1463,Australia,78,1,0,0
2496,Australia,80,1,0,0
1657,Australia,81,1,0,0
89,Australia,83,0,0,1
1878,Australia,85,1,0,0
1659,Australia,87,1,1,0
2254,Australia,87,1,0,0
2139,Australia,88,1,0,0
2363,Australia,88,1,0,0
2140,Australia,90,1,0,0
2497,Australia,90,1,0,0
1005,Austria,3,1,0,0
453,Austria,6,1,0,0
204,Austria,12,1,0,0
523,Austria,21,1,0,0
484,Austria,22,1,0,0
934,Austria,26,1,0,0
878,Austria,27,1,0,0
526,Austria,31,1,0,0
244,Austria,32,1,0,0
527,Austria,33,0,0,1
1006,Austria,35,1,0,0
1007,Austria,43,1,0,0
529,Austria,50,1,0,0
252,Austria,60,1,0,0
206,Austria,66,1,0,0
177,Austria,69,1,0,0
487,Austria,71,1,0,0
245,Austria,74,1,0,0
531,Austria,84,1,0,0
179,Austria,85,1,0,0
488,Austria,85,1,0,0
261,Austria,86,1,0,0
1009,Austria,88,1,0,0
532,Austria,90,1,0,0
2501,Belgium,9,1,0,0
2276,Belgium,14,1,0,0
20,Belgium,15,1,0,0
347,Belgium,16,1,0,0
2396,Belgium,19,1,0,0
707,Belgium,20,1,0,0
901,Belgium,20,1,0,0
1192,Belgium,21,1,0,0
427,Belgium,24,1,0,0
1384,Belgium,24,1,0,0
2092,Belgium,24,1,0,0
433,Belgium,27,1,0,0
23,Belgium,29,1,0,0
902,Belgium,29,1,0,0
2553,Belgium,29,1,0,0
2397,Belgium,33,1,0,0
500,Belgium,35,1,0,0
786,Belgium,38,1,0,0
1342,Belgium,39,1,0,0
1265,Belgium,40,1,0,0
502,Belgium,41,1,1,0
2212,Belgium,42,1,0,0
2182,Belgium,45,0,0,1
2440,Belgium,47,1,0,0
193,Belgium,50,1,0,0
2183,Belgium,50,1,0,0
2219,Belgium,53,1,0,0
