team_name,minute_regulation,goals
Algeria,7,1
Algeria,25,1
Algeria,26,1
Algeria,28,1
Algeria,31,1
Algeria,35,1
Algeria,38,1
Algeria,54,1
Algeria,59,1
Algeria,60,1
Algeria,62,1
Algeria,68,1
Algeria,120,1
Angola,60,1
Argentina,2,1
Argentina,3,3
Argentina,4,3
Argentina,5,1
Argentina,6,3
Argentina,8,2
Argentina,10,2
Argentina,12,2
Argentina,13,1
Argentina,14,2
Argentina,15,1
Argentina,16,2
Argentina,17,3
Argentina,18,2
Argentina,19,1
Argentina,20,4
Argentina,21,2
Argentina,22,1
Argentina,23,2
Argentina,24,1
Argentina,26,2
Argentina,27,1
Argentina,28,3
Argentina,31,2
Argentina,33,2
Argentina,34,2
Argentina,35,3
Argentina,36,2
Argentina,37,2
Argentina,38,2
Argentina,39,1
Argentina,41,2
Argentina,42,1
Argentina,43,1
Argentina,44,1
Argentina,45,3
Argentina,46,2
Argentina,48,2
Argentina,49,2
Argentina,50,2
Argentina,51,3
Argentina,52,2
Argentina,53,1
Argentina,54,1
Argentina,55,4
Argentina,56,3
Argentina,57,2
Argentina,60,4
Argentina,62,1
Argentina,63,2
Argentina,64,1
Argentina,65,3
Argentina,66,1
Argentina,67,3
Argentina,68,1
Argentina,69,2
Argentina,71,1
Argentina,72,1
Argentina,73,3
Argentina,75,1
Argentina,76,1
Argentina,77,3
Argentina,78,2
Argentina,79,2
Argentina,80,3
Argentina,81,3
Argentina,83,3
Argentina,84,2
Argentina,85,1
Argentina,86,1
Argentina,87,2
Argentina,88,2
Argentina,89,2
Argentina,90,3
Argentina,98,1
Argentina,105,1
Argentina,108,1
Argentina,115,1
Argentina,118,1
Australia,9,1
Australia,11,1
Australia,21,1
Australia,23,1
Australia,35,1
Australia,38,2
Australia,54,1
Australia,60,1
Australia,62,1
Australia,69,1
Australia,73,1
Australia,77,1
Australia,79,1
Australia,84,1
Australia,89,1
Australia,90,1
Austria,3,1
Austria,4,1
Austria,8,1
Austria,10,1
Austria,15,1
Austria,16,1
Austria,21,1
Austria,22,1
Austria,24,1
Austria,25,1
Austria,26,1
Austria,27,1
Austria,28,1
Austria,32,1
Austria,33,1
Austria,34,1
Austria,42,1
Austria,44,1
Austria,49,1
Austria,50,1
Austria,51,2
Austria,53,1
Austria,54,1
Austria,55,1
Austria,59,2
Austria,63,1
Austria,65,1
Austria,66,1
Austria,67,1
Austria,68,1
Austria,71,1
Austria,76,2
Austria,80,1
Austria,87,1
Austria,89,1
Austria,90,3
Austria,93,1
Austria,109,1
Belgium,4,1
Belgium,5,1
Belgium,6,1
Belgium,7,2
Belgium,8,1
Belgium,11,2
Belgium,12,1
Belgium,13,2
Belgium,15,1
Belgium,16,2
Belgium,19,1
Belgium,21,1
Belgium,24,1
Belgium,29,2
Belgium,30,1
Belgium,31,1
Belgium,35,1
Belgium,38,1
Belgium,42,1
Belgium,43,1
Belgium,44,1
