Team_names,Year,c_goal,color
Algeria,1930,0,#1f77b4
Algeria,1934,0,#1f77b4
Algeria,1938,0,#1f77b4
Algeria,1950,0,#1f77b4
Algeria,1954,0,#1f77b4
Algeria,1958,0,#1f77b4
Algeria,1962,0,#1f77b4
Algeria,1966,0,#1f77b4
Algeria,1970,0,#1f77b4
Algeria,1974,0,#1f77b4
Algeria,1978,0,#1f77b4
Algeria,1982,5,#1f77b4
Algeria,1986,6,#1f77b4
Algeria,1990,6,#1f77b4
Algeria,1994,6,#1f77b4
Algeria,1998,6,#1f77b4
Algeria,2002,6,#1f77b4
Algeria,2006,6,#1f77b4
Algeria,2010,6,#1f77b4
Algeria,2014,13,#1f77b4
Algeria,2018,13,#1f77b4
Algeria,2022,13,#1f77b4
Argentina,1930,18,#ff7f0e
Argentina,1934,20,#ff7f0e
Argentina,1938,20,#ff7f0e
Argentina,1950,20,#ff7f0e
Argentina,1954,20,#ff7f0e
Argentina,1958,25,#ff7f0e
Argentina,1962,27,#ff7f0e
Argentina,1966,31,#ff7f0e
Argentina,1970,31,#ff7f0e
Argentina,1974,40,#ff7f0e
Argentina,1978,55,#ff7f0e
Argentina,1982,63,#ff7f0e
Argentina,1986,77,#ff7f0e
Argentina,1990,82,#ff7f0e
Argentina,1994,90,#ff7f0e
Argentina,1998,100,#ff7f0e
Argentina,2002,102,#ff7f0e
Argentina,2006,113,#ff7f0e
Argentina,2010,123,#ff7f0e
Argentina,2014,131,#ff7f0e
Argentina,2018,137,#ff7f0e
Argentina,2022,152,#ff7f0e
Australia,1930,0,#2ca02c
Australia,1934,0,#2ca02c
Australia,1938,0,#2ca02c
Australia,1950,0,#2ca02c
Australia,1954,0,#2ca02c
Australia,1958,0,#2ca02c
Australia,1962,0,#2ca02c
Australia,1966,0,#2ca02c
Australia,1970,0,#2ca02c
Australia,1974,0,#2ca02c
Australia,1978,0,#2ca02c
Australia,1982,0,#2ca02c
Australia,1986,0,#2ca02c
Australia,1990,0,#2ca02c
Australia,1994,0,#2ca02c
Australia,1998,0,#2ca02c
Australia,2002,0,#2ca02c
Australia,2006,5,#2ca02c
Australia,2010,8,#2ca02c
Australia,2014,11,#2ca02c
Australia,2018,13,#2ca02c
Australia,2022,17,#2ca02c
Austria,1930,0,#2ca02c
Austria,1934,7,#2ca02c
Austria,1938,7,#2ca02c
Austria,1950,7,#2ca02c
Austria,1954,24,#2ca02c
Austria,1958,26,#2ca02c
Austria,1962,26,#2ca02c
Austria,1966,26,#2ca02c
Austria,1970,26,#2ca02c
Austria,1974,26,#2ca02c
Austria,1978,33,#2ca02c
Austria,1982,38,#2ca02c
Austria,1986,38,#2ca02c
Austria,1990,40,#2ca02c
Austria,1994,40,#2ca02c
Austria,1998,43,#2ca02c
Austria,2002,43,#2ca02c
Austria,2006,43,#2ca02c
Austria,2010,43,#2ca02c
Austria,2014,43,#2ca02c
Austria,2018,43,#2ca02c
Austria,2022,43,#2ca02c
Belgium,1930,0,#d62728
Belgium,1934,2,#d62728
Belgium,1938,3,#d62728
Belgium,1950,3,#d62728
Belgium,1954,8,#d62728
Belgium,1958,8,#d62728
Belgium,1962,8,#d62728
Belgium,1966,8,#d62728
Belgium,1970,12,#d62728
Belgium,1974,12,#d62728
Belgium,1978,12,#d62728
Belgium,1982,15,#d62728
Belgium,1986,27,#d62728
Belgium,1990,33,#d62728
Belgium,1994,37,#d62728
Belgium,1998,40,#d62728
Belgium,2002,46,#d62728
Belgium,2006,46,#d62728
Belgium,2010,46,#d62728
Belgium,2014,52,#d62728
Belgium,2018,68,#d62728
Belgium,2022,69,#d62728
Brazil,1930,5,#9467bd
Brazil,1934,6,#9467bd
Brazil,1938,20,#9467bd
Brazil,1950,42,#9467bd
Brazil,1954,50,#9467bd
Brazil,1958,66,#9467bd
Brazil,1962,80,#9467bd
Brazil,1966,84,#9467bd
Brazil,1970,103,#9467bd
Brazil,1974,109,#9467bd
Brazil,1978,119,#9467bd
Brazil,1982,134,#9467bd
Brazil,1986,144,#9467bd
Brazil,1990,148,#9467bd
Brazil,1994,159,#9467bd
Brazil,1998,173,#9467bd
Brazil,2002,191,#9467bd
Brazil,2006,201,#9467bd
Brazil,2010,210,#9467bd
Brazil,2014,221,#9467bd
Brazil,2018,229,#9467bd
Brazil,2022,237,#9467bd
chile,1930,5,#8c564b
chile,1934,5,#8c564b
chile,1938,5,#8c564b
chile,1950,10,#8c564b
chile,1954,10,#8c564b
chile,1958,10,#8c564b
chile,1962,20,#8c564b
chile,1966,22,#8c564b
chile,1970,22,#8c564b
chile,1974,23,#8c564b
chile,1978,23,#8c564b
chile,1982,26,#8c564b
chile,1986,26,#8c564b
chile,1990,26,#8c564b
chile,1994,26,#8c564b
chile,1998,31,#8c564b
chile,2002,31,#8c564b
chile,2006,31,#8c564b
chile,2010,34,#8c564b
chile,2014,40,#8c564b
chile,2018,40,#8c564b
chile,2022,40,#8c564b
Croatia,1930,0,#e377c2
Croatia,1934,0,#e377c2
Croatia,1938,0,#e377c2
Croatia,1950,0,#e377c2
Croatia,1954,0,#e377c2
Croatia,1958,0,#e377c2
Croatia,1962,0,#e377c2
Croatia,1966,0,#e377c2
Croatia,1970,0,#e377c2
Croatia,1974,0,#e377c2
Croatia,1978,0,#e377c2
Croatia,1982,0,#e377c2
Croatia,1986,0,#e377c2
Croatia,1990,0,#e377c2
Croatia,1994,0,#e377c2
Croatia,1998,11,#e377c2
Croatia,2002,13,#e377c2
Croatia,2006,15,#e377c2
Croatia,2010,15,#e377c2
Croatia,2014,21,#e377c2
Croatia,2018,35,#e377c2
Croatia,2022,43,#e377c2
Czechoslovakia,1930,0,#7f7f7f
Czechoslovakia,1934,9,#7f7f7f
Czechoslovakia,1938,14,#7f7f7f
Czechoslovakia,1950,14,#7f7f7f
Czechoslovakia,1954,14,#7f7f7f
Czechoslovakia,1958,23,#7f7f7f
Czechoslovakia,1962,30,#7f7f7f
Czechoslovakia,1966,30,#7f7f7f
Czechoslovakia,1970,32,#7f7f7f
Czechoslovakia,1974,32,#7f7f7f
Czechoslovakia,1978,32,#7f7f7f
Czechoslovakia,1982,34,#7f7f7f
Czechoslovakia,1986,34,#7f7f7f
Czechoslovakia,1990,44,#7f7f7f
Czechoslovakia,1994,44,#7f7f7f
Czechoslovakia,1998,44,#7f7f7f
Czechoslovakia,2002,44,#7f7f7f
Czechoslovakia,2006,44,#7f7f7f
Czechoslovakia,2010,44,#7f7f7f
Czechoslovakia,2014,44,#7f7f7f
Czechoslovakia,2018,44,#7f7f7f
Czechoslovakia,2022,44,#7f7f7f
England,1930,0,#d62728
England,1934,0,#d62728
England,1938,0,#d62728
England,1950,2,#d62728
England,1954,10,#d62728
England,1958,14,#d62728
England,1962,19,#d62728
England,1966,30,#d62728
England,1970,34,#d62728
England,1974,34,#d62728
England,1978,34,#d62728
England,1982,40,#d62728
England,1986,47,#d62728
England,1990,55,#d62728
England,1994,55,#d62728
England,1998,62,#d62728
England,2002,68,#d62728
England,2006,74,#d62728
England,2010,77,#d62728
England,2014,79,#d62728
England,2018,91,#d62728
England,2022,104,#d62728
France,1930,4,#bcbd22
France,1934,6,#bcbd22
France,1938,10,#bcbd22
France,1950,10,#bcbd22
France,1954,13,#bcbd22
France,1958,36,#bcbd22
France,1962,36,#bcbd22
France,1966,38,#bcbd22
France,1970,38,#bcbd22
France,1974,38,#bcbd22
France,1978,43,#bcbd22
France,1982,59,#bcbd22
France,1986,71,#bcbd22
France,1990,71,#bcbd22
France,1994,71,#bcbd22
France,1998,86,#bcbd22
France,2002,86,#bcbd22
France,2006,95,#bcbd22
France,2010,96,#bcbd22
France,2014,106,#bcbd22
France,2018,120,#bcbd22
France,2022,136,#bcbd22
Germany,1930,0,#17becf
Germany,1934,11,#17becf
Germany,1938,14,#17becf
Germany,1950,14,#17becf
Germany,1954,14,#17becf
Germany,1958,14,#17becf
Germany,1962,14,#17becf
Germany,1966,14,#17becf
Germany,1970,14,#17becf
Germany,1974,14,#17becf
Germany,1978,14,#17becf
Germany,1982,14,#17becf
Germany,1986,14,#17becf
Germany,1990,14,#17becf
Germany,1994,23,#17becf
Germany,1998,31,#17becf
Germany,2002,45,#17becf
Germany,2006,59,#17becf
Germany,2010,75,#17becf
Germany,2014,93,#17becf
Germany,2018,95,#17becf
Germany,2022,101,#17becf
Hungary,1930,0,#1f77b4
Hungary,1934,5,#1f77b4
Hungary,1938,20,#1f77b4
Hungary,1950,20,#1f77b4
Hungary,1954,47,#1f77b4
Hungary,1958,54,#1f77b4
Hungary,1962,62,#1f77b4
Hungary,1966,70,#1f77b4
Hungary,1970,70,#1f77b4
Hungary,1974,70,#1f77b4
Hungary,1978,73,#1f77b4
Hungary,1982,85,#1f77b4
Hungary,1986,87,#1f77b4
Hungary,1990,87,#1f77b4
Hungary,1994,87,#1f77b4
Hungary,1998,87,#1f77b4
Hungary,2002,87,#1f77b4
