,team_name,tournament_name,minute_label,minute_regulation,minute_stoppage,Event
0,Soviet Union,1970 FIFA World Cup,30',30,0,2
1,Soviet Union,1970 FIFA World Cup,31',31,0,2
2,Soviet Union,1970 FIFA World Cup,34',34,0,2
3,Mexico,1970 FIFA World Cup,60',60,0,2
4,Soviet Union,1970 FIFA World Cup,72',72,0,2
5,Sweden,1970 FIFA World Cup,56',56,0,2
6,Brazil,1970 FIFA World Cup,31',31,0,2
7,Romania,1970 FIFA World Cup,82',82,0,2
8,Czechoslovakia,1970 FIFA World Cup,82',82,0,2
9,El Salvador,1970 FIFA World Cup,13',13,0,2
10,El Salvador,1970 FIFA World Cup,33',33,0,2
11,El Salvador,1970 FIFA World Cup,45',45,0,2
12,El Salvador,1970 FIFA World Cup,57',57,0,2
13,Israel,1970 FIFA World Cup,38',38,0,2
14,Sweden,1970 FIFA World Cup,72',72,0,2
15,Israel,1970 FIFA World Cup,89',89,0,2
16,England,1970 FIFA World Cup,30',30,0,2
17,Soviet Union,1970 FIFA World Cup,90',90,0,2
18,Romania,1970 FIFA World Cup,44',44,0,2
19,Romania,1970 FIFA World Cup,78',78,0,2
20,Belgium,1970 FIFA World Cup,15',15,0,2
21,Mexico,1970 FIFA World Cup,19',19,0,2
22,Mexico,1970 FIFA World Cup,29',29,0,2
23,Belgium,1970 FIFA World Cup,29',29,0,2
24,Belgium,1970 FIFA World Cup,62',62,0,2
25,Israel,1970 FIFA World Cup,62',62,0,2
26,Israel,1970 FIFA World Cup,67',67,0,2
27,Italy,1970 FIFA World Cup,90',90,0,2
28,Czechoslovakia,1970 FIFA World Cup,78',78,0,2
29,Italy,1970 FIFA World Cup,67',67,0,2
30,Uruguay,1970 FIFA World Cup,9',9,0,2
31,Uruguay,1970 FIFA World Cup,17',17,0,2
32,Soviet Union,1970 FIFA World Cup,32',32,0,2
33,Uruguay,1970 FIFA World Cup,59',59,0,2
34,Soviet Union,1970 FIFA World Cup,76',76,0,2
35,Soviet Union,1970 FIFA World Cup,118',118,0,2
36,England,1970 FIFA World Cup,10',10,0,2
37,West Germany,1970 FIFA World Cup,18',18,0,2
38,Uruguay,1970 FIFA World Cup,5',5,0,2
39,Uruguay,1970 FIFA World Cup,18',18,0,2
40,Uruguay,1970 FIFA World Cup,37',37,0,2
41,Brazil,1970 FIFA World Cup,44',44,0,2
42,Italy,1970 FIFA World Cup,38',38,0,2
43,West Germany,1970 FIFA World Cup,53',53,0,2
44,West Germany,1970 FIFA World Cup,66',66,0,2
45,Italy,1970 FIFA World Cup,73',73,0,2
46,Italy,1970 FIFA World Cup,103',103,0,2
47,Italy,1970 FIFA World Cup,114',114,0,2
48,West Germany,1970 FIFA World Cup,64',64,0,2
49,Uruguay,1970 FIFA World Cup,89',89,0,2
50,Italy,1970 FIFA World Cup,27',27,0,2
51,Brazil,1970 FIFA World Cup,33',33,0,2
52,Yugoslavia,1974 FIFA World Cup,17',17,0,2
53,Yugoslavia,1974 FIFA World Cup,49',49,0,2
54,Chile,1974 FIFA World Cup,13',13,0,2
55,Chile,1974 FIFA World Cup,47',47,0,2
56,Chile,1974 FIFA World Cup,59',59,0,2
57,Chile,1974 FIFA World Cup,67',67,0,3
58,East Germany,1974 FIFA World Cup,32',32,0,2
59,East Germany,1974 FIFA World Cup,58',58,0,2
60,East Germany,1974 FIFA World Cup,61',61,0,2
61,Zaire,1974 FIFA World Cup,40',40,0,2
62,Scotland,1974 FIFA World Cup,48',48,0,2
63,Uruguay,1974 FIFA World Cup,25',25,0,2
64,Uruguay,1974 FIFA World Cup,50',50,0,2
65,Uruguay,1974 FIFA World Cup,65',65,0,2
66,Uruguay,1974 FIFA World Cup,69',69,0,3
67,Haiti,1974 FIFA World Cup,65',65,0,2
68,Argentina,1974 FIFA World Cup,21',21,0,2
69,Argentina,1974 FIFA World Cup,47',47,0,2
70,Chile,1974 FIFA World Cup,56',56,0,2
71,Chile,1974 FIFA World Cup,60',60,0,2
72,East Germany,1974 FIFA World Cup,65',65,0,2
73,Brazil,1974 FIFA World Cup,35',35,0,2
74,Brazil,1974 FIFA World Cup,81',81,0,2
75,Brazil,1974 FIFA World Cup,87',87,0,2
76,Zaire,1974 FIFA World Cup,22',22,0,3
77,Yugoslavia,1974 FIFA World Cup,54',54,0,2
78,Bulgaria,1974 FIFA World Cup,9',9,0,2
79,Uruguay,1974 FIFA World Cup,44',44,0,2
80,Sweden,1974 FIFA World Cup,36',36,0,2
81,Sweden,1974 FIFA World Cup,68',68,0,2
82,Netherlands,1974 FIFA World Cup,72',72,0,2
83,Sweden,1974 FIFA World Cup,74',74,0,2
84,Sweden,1974 FIFA World Cup,86',86,0,2
85,Italy,1974 FIFA World Cup,48',48,0,2
86,Argentina,1974 FIFA World Cup,54',54,0,2
87,Haiti,1974 FIFA World Cup,71',71,0,2
88,Australia,1974 FIFA World Cup,37',37,0,2
89,Australia,1974 FIFA World Cup,83',83,0,3
90,Yugoslavia,1974 FIFA World Cup,21',21,0,2
91,Yugoslavia,1974 FIFA World Cup,55',55,0,2
92,Scotland,1974 FIFA World Cup,60',60,0,2
93,Scotland,1974 FIFA World Cup,70',70,0,2
94,Yugoslavia,1974 FIFA World Cup,70',70,0,2
95,Brazil,1974 FIFA World Cup,77',77,0,2
96,Zaire,1974 FIFA World Cup,78',78,0,2
97,East Germany,1974 FIFA World Cup,27',27,0,2
98,East Germany,1974 FIFA World Cup,81',81,0,2
99,East Germany,1974 FIFA World Cup,84',84,0,2
100,Netherlands,1974 FIFA World Cup,5',5,0,2
101,Netherlands,1974 FIFA World Cup,22',22,0,2
102,Netherlands,1974 FIFA World Cup,29',29,0,2
103,Bulgaria,1974 FIFA World Cup,44',44,0,2
104,Bulgaria,1974 FIFA World Cup,67',67,0,2
105,Uruguay,1974 FIFA World Cup,21',21,0,2
106,Argentina,1974 FIFA World Cup,26',26,0,2
107,Argentina,1974 FIFA World Cup,60',60,0,2
108,Haiti,1974 FIFA World Cup,85',85,0,2
109,Poland,1974 FIFA World Cup,25',25,0,2
110,Italy,1974 FIFA World Cup,71',71,0,2
111,Poland,1974 FIFA World Cup,84',84,0,2
112,West Germany,1974 FIFA World Cup,16',16,0,2
113,West Germany,1974 FIFA World Cup,35',35,0,2
114,Yugoslavia,1974 FIFA World Cup,36',36,0,2
115,Yugoslavia,1974 FIFA World Cup,61',61,0,2
116,East Germany,1974 FIFA World Cup,11',11,0,2
117,Brazil,1974 FIFA World Cup,27',27,0,2
118,Brazil,1974 FIFA World Cup,28',28,0,2
119,Brazil,1974 FIFA World Cup,75',75,0,2
120,East Germany,1974 FIFA World Cup,84',84,0,2
121,Netherlands,1974 FIFA World Cup,22',22,0,2
122,Argentina,1974 FIFA World Cup,35',35,0,2
123,Netherlands,1974 FIFA World Cup,58',58,0,2
124,Poland,1974 FIFA World Cup,44',44,0,2
125,Poland,1974 FIFA World Cup,49',49,0,2
126,Argentina,1974 FIFA World Cup,72',72,0,2
127,Sweden,1974 FIFA World Cup,45',45,0,2
128,East Germany,1974 FIFA World Cup,23',23,0,2
