,minute_regulation,match_id,player_id,family_name,given_name,Event
0,30,M-1970-01,P-02708,Asatiani,Kakhi,2
1,31,M-1970-01,P-09857,Nodia,Givi,2
2,34,M-1970-01,P-06460,Lovchev,Evgeny,2
3,60,M-1970-01,P-07391,Peña,Gustavo,2
4,72,M-1970-01,P-05203,Logofet,Gennady,2
5,56,M-1970-06,P-00789,Cronqvist,Claes,2
6,31,M-1970-07,P-06926,Gérson,not applicable,2
7,82,M-1970-11,P-09524,Nunweiller,Radu,2
8,82,M-1970-11,P-06937,Kvašňák,Andrej,2
9,13,M-1970-13,P-06569,Cortés,Santiago,2
10,33,M-1970-13,P-07235,Mariona,Salvador,2
11,45,M-1970-13,P-09407,Magaña,Raúl,2
12,57,M-1970-13,P-05665,Cabezas,Salvador,2
13,38,M-1970-14,P-02124,Bar,Shraga,2
14,72,M-1970-14,P-01272,Persson,Örjan,2
15,89,M-1970-14,P-06382,Primo,David,2
16,30,M-1970-15,P-02882,Lee,Francis,2
17,90,M-1970-17,P-06447,Khmelnitsky,Vitaly,2
18,44,M-1970-19,P-06508,Dumitru,Ion,2
19,78,M-1970-19,P-01821,Mocanu,Mihai,2
20,15,M-1970-21,P-00937,Van Himst,Paul,2
21,19,M-1970-21,P-07039,Valdivia,Javier,2
22,29,M-1970-21,P-07391,Peña,Gustavo,2
23,29,M-1970-21,P-05005,Thissen,Jean,2
24,62,M-1970-21,P-06612,Polleunis,Odilon,2
25,62,M-1970-22,P-06382,Primo,David,2
26,67,M-1970-22,P-03572,Bello,Menachem,2
27,90,M-1970-22,P-02561,Boninsegna,Roberto,2
28,78,M-1970-23,P-08434,Dobiaš,Karol,2
29,67,M-1970-26,P-07296,Rivera,Gianni,2
30,9,M-1970-27,P-07507,Matosas,Roberto,2
31,17,M-1970-27,P-06276,Montero Castillo,Julio,2
32,32,M-1970-27,P-02708,Asatiani,Kakhi,2
33,59,M-1970-27,P-01017,Ubiña,Luis,2
34,76,M-1970-27,P-00096,Kaplichny,Vladimir,2
35,118,M-1970-27,P-07217,Byshovets,Anatoliy,2
36,10,M-1970-28,P-02882,Lee,Francis,2
37,18,M-1970-28,P-02173,Müller,Gerd,2
38,5,M-1970-29,P-00668,Mujica,Juan,2
39,18,M-1970-29,P-06474,Fontes,Dagoberto,2
40,37,M-1970-29,P-03196,Maneiro,Ildo,2
41,44,M-1970-29,P-04742,Alberto,Carlos,2
42,38,M-1970-30,P-05738,Rosato,Roberto,2
43,53,M-1970-30,P-08882,Overath,Wolfgang,2
44,66,M-1970-30,P-02173,Müller,Gerd,2
45,73,M-1970-30,P-00800,Albertosi,Enrico,2
46,103,M-1970-30,P-04369,De Sisti,Giancarlo,2
