team_name,scored,received,win_counts,lose_counts,draws,count_matches,yellow_cards,red_cards,second_yellow_card,sending_off,winning_times
Algeria,13,19,3,7,3,13,17,0,2,2,0
Angola,1,2,0,1,2,3,11,0,1,1,0
Argentina,152,101,53,25,10,88,135,5,1,6,3
Australia,17,37,4,12,4,20,39,3,1,4,0
Austria,43,47,12,13,4,29,23,1,0,1,0
Belgium,69,74,22,20,9,51,55,2,1,3,0
Bolivia,1,20,0,5,1,6,8,1,1,2,0
Bosnia and Herzegovina,4,4,1,2,0,3,3,0,0,0,0
Brazil,237,108,79,21,14,114,103,5,1,6,5
Bulgaria,22,53,4,15,7,26,37,0,3,3,0
Cameroon,22,47,5,13,8,26,56,7,2,9,0
Canada,2,12,0,6,0,6,11,0,1,1,0
Chile,40,49,11,16,6,33,44,1,1,2,0
China,0,9,0,3,0,3,5,1,0,1,0
Colombia,32,30,9,11,2,22,31,1,0,1,0
Costa Rica,22,39,7,11,3,21,43,0,1,1,0
Croatia,43,33,17,9,4,30,60,2,2,4,0
Cuba,5,12,1,1,1,3,,,,,0
Czech Republic,3,4,1,2,0,3,7,1,1,2,0
Czechoslovakia,44,45,11,14,5,30,18,1,1,2,0
Denmark,31,29,9,9,5,23,43,2,1,3,0
Dutch East Indies,0,6,0,1,0,1,,,,,0
East Germany,5,5,2,2,2,6,10,0,0,0,0
Ecuador,14,14,5,6,2,13,26,1,0,1,0
Egypt,5,12,0,5,2,7,9,0,0,0,0
El Salvador,1,22,0,6,0,6,9,0,0,0,0
England,104,68,33,23,18,74,58,3,0,3,1
France,136,85,41,23,9,73,78,5,1,6,2
Germany,101,53,33,11,6,50,81,1,3,4,4
Ghana,18,23,5,8,2,15,43,0,1,1,0
Greece,5,20,2,7,1,10,21,0,1,1,0
Haiti,2,14,0,3,0,3,3,0,0,0,0
Honduras,3,14,0,6,3,9,15,1,1,2,0
Hungary,87,57,15,14,3,32,6,2,0,2,0
Iceland,2,5,0,2,1,3,3,0,0,0,0
Iran,13,31,3,11,4,18,28,0,0,0,0
Iraq,1,4,0,3,0,3,9,1,0,1,0
Israel,1,3,0,1,2,3,4,0,0,0,0
Italy,128,77,46,20,17,83,93,5,1,6,4
Ivory Coast,13,14,3,5,1,9,21,0,1,1,0
Jamaica,3,9,1,2,0,3,6,0,1,1,0
Japan,25,33,7,14,4,25,42,0,0,0,0
Kuwait,2,6,0,2,1,3,3,0,0,0,0
Mexico,62,101,17,30,13,60,89,3,3,6,0
Morocco,20,27,6,11,6,23,36,0,1,1,0
Netherlands,96,52,31,14,10,55,110,3,5,8,0
New Zealand,4,14,0,3,3,6,6,0,0,0,0
Nigeria,23,30,6,12,3,21,31,1,0,1,0
North Korea,6,21,1,5,1,7,2,0,0,0,0
Northern Ireland,13,23,3,5,5,13,9,1,0,1,0
Norway,7,8,2,3,3,8,13,0,0,0,0
Panama,2,11,0,3,0,3,11,0,0,0,0
Paraguay,30,38,8,10,9,27,41,1,1,2,0
Peru,21,33,5,10,3,18,10,0,0,0,0
Poland,49,50,17,15,6,38,52,0,1,1,0
Portugal,61,41,18,12,5,35,57,3,3,6,0
Qatar,1,7,0,3,0,3,7,0,0,0,0
Republic of Ireland,10,10,3,4,6,13,16,0,0,0,0
Romania,30,32,8,10,3,21,32,1,0,1,0
Russia,24,20,5,7,2,14,30,0,2,2,0
Saudi Arabia,14,44,4,13,2,19,37,1,0,1,0
Scotland,25,41,4,12,7,23,17,1,0,1,0
Senegal,16,17,5,4,3,12,27,1,0,1,0
Serbia,9,15,2,6,1,9,29,0,1,1,0
Serbia and Montenegro,2,10,0,3,0,3,12,1,1,2,0
Slovakia,5,7,1,2,1,4,11,0,0,0,0
Slovenia,5,10,1,4,1,6,19,1,0,1,0
South Africa,11,16,2,3,4,9,21,2,0,2,0
South Korea,39,78,8,21,9,38,79,1,1,2,0
Soviet Union,53,34,15,10,6,31,17,1,0,1,0
Spain,108,75,32,23,12,67,67,1,0,1,1
Sweden,80,73,20,19,12,51,51,1,2,3,0
Switzerland,55,73,14,20,7,41,49,2,0,2,0
Togo,1,6,0,3,0,3,10,0,1,1,0
Trinidad and Tobago,0,4,0,2,1,3,10,0,1,1,0
Tunisia,14,26,3,10,5,18,39,0,1,1,0
Turkey,20,17,5,4,1,10,19,1,1,2,0
Ukraine,5,7,3,2,0,5,12,1,0,1,0
United Arab Emirates,2,11,0,3,0,3,7,0,1,1,0
United States,40,66,9,20,8,37,57,2,2,4,0
Uruguay,89,76,26,21,12,59,72,4,2,6,2
Wales,5,10,1,3,4,8,5,1,0,1,0
West Germany,131,77,39,12,11,62,35,2,0,2,0
Yugoslavia,60,46,16,14,7,37,29,0,1,1,0
Zaire,0,14,0,3,0,3,2,1,0,1,0
