,key_id,tournament_id,tournament_name,year,start_date,end_date,host_country,winner,host_won,count_teams,group_stage,second_group_stage,final_round,round_of_16,quarter_finals,semi_finals,third_place_match,final,number_of_days,venues,cities,total_attendance,matches,avg_attendance,goals,yellow_cards,second_yellow_cards,red_cards,Asia,Europe,North America,South America,Africa,Australia,Winning_Coach,Coach_Country,Top_Scorer,Top_Scorer_Country,Best_Player,Best_Player_Country
0,1,WC-1930,1930 FIFA World Cup,1930,1930-07-13,1930-07-30,Uruguay,Uruguay,1,13,1,0,0,0,0,1,0,1,17,3,1,590549,18,32808,70,0,0,0,0,4,2,7,0,0,Alberto Suppici,Uruguay,Guillermo Stábile (8),Argentina,-,-
1,2,WC-1934,1934 FIFA World Cup,1934,1934-05-27,1934-06-10,Italy,Italy,1,16,0,0,0,1,1,1,1,1,14,8,8,363000,17,21353,70,0,0,0,0,12,1,2,1,0,Vittorio Pozzo,Italy,Oldřich Nejedlý (5),Czech Republic,-,-
2,3,WC-1938,1938 FIFA World Cup,1938,1938-06-04,1938-06-19,France,Italy,0,15,0,0,0,1,1,1,1,1,15,10,9,375700,18,20872,84,0,0,0,1,12,1,1,0,0,Vittorio Pozzo,Italy,Leônidas (7),Brazil,-,-
3,4,WC-1950,1950 FIFA World Cup,1950,1950-06-24,1950-07-16,Brazil,Uruguay,0,13,1,0,1,0,0,0,0,0,22,6,6,1045246,22,47511,88,0,0,0,0,6,2,5,0,0,Juan López,Uruguay,Ademir (9),Brazil,-,-
4,5,WC-1954,1954 FIFA World Cup,1954,1954-06-16,1954-07-04,Switzerland,West Germany,0,16,1,0,0,0,1,1,1,1,18,6,6,768607,26,29562,140,0,0,0,1,12,1,2,0,0,Sepp Herberger,Germany,Sándor Kocsis (11),Hungary,-,-
5,6,WC-1958,1958 FIFA World Cup,1958,1958-06-08,1958-06-29,Sweden,Brazil,0,16,1,0,0,0,1,1,1,1,21,12,12,819810,35,23423,126,0,0,0,0,12,1,3,0,0,Vicente Feola,Brazil,Just Fontaine (13),France,-,-
6,7,WC-1962,1962 FIFA World Cup,1962,1962-05-30,1962-07-17,Chile,Brazil,0,16,1,0,0,0,1,1,1,1,48,4,4,893172,32,27912,89,0,0,0,0,10,1,5,0,0,Aymoré Moreira,Brazil,Six players (4),-,-,-
7,8,WC-1966,1966 FIFA World Cup,1966,1966-07-11,1966-07-30,England,England,1,16,1,0,0,0,1,1,1,1,19,8,7,1563135,32,48848,89,0,0,0,1,10,1,4,0,0,Alf Ramsey,England,Eusébio (9),Portugal,-,-
8,9,WC-1970,1970 FIFA World Cup,1970,1970-05-31,1970-06-21,Mexico,Brazil,0,16,1,0,0,0,1,1,1,1,21,5,5,1603975,32,50124,95,52,0,0,1,9,2,3,1,0,Mário Zagallo,Brazil,Gerd Müller (10),Germany,-,-
9,10,WC-1974,1974 FIFA World Cup,1974,1974-06-13,1974-07-07,West Germany,West Germany,1,16,1,1,0,0,0,0,1,1,24,9,9,1865753,38,49099,97,87,0,5,0,9,1,4,1,1,Helmut Schön,Germany,Grzegorz Lato (7),Poland,-,-
